שלום,[shalom],привет
אהבה,[ahava],любовь
משפחה,[mishpacha],семья
אוכל,[ohel],еда
כלב,[kelev],собака
חתול,[hatul],кошка
גן,[gan],сад
בית,[bayit],дом
אישה,[isha],женщина
גבר,[gever],мужчина
ילד,[yeled],ребенок
שמש,[shemesh],солнце
ירח,[yareach],луна
רוח,[ruah],ветер
עץ,[etz],дерево
פרח,[perah],цветок
פרי,[pri],фрукт
מלאך,[malah],ангел
כתב,[katav],писать
כסף,[kesef],деньги
שמחה,[simha],радость
עצב,[etzev],печаль
כוח,[koah],сила
רפואה,[refua],медицина
תרופה,[trufa],лекарство
מחלה,[mahala],болезнь
חיים,[hayim],жизнь
מוות,[mavet],смерть
מאבק,[maavak],борьба
התקדמות,[hitkadmut],прогресс
שיתוף,[shituf],сотрудничество
ניהול,[nihul],управление
תפקוד,[tafkid],функция
מנהיג,[manhig],лидер
אמון,[emuna],вера
התקנה,[hatkana],установка
שירות,[shirut],служба
סיוע,[siyua],помощь
גיל,[gil],возраст
פעולה,[peula],действие
תקשורת,[tikshoret],связь
קרבה,[kirva],близость
סובלנות,[sovlanut],терпимость
אחריות,[ahrayut],ответственность
הערכה,[ha'araka],оценка
התנהלות,[hitnahalut],поведение
בטחון,[bitahon],безопасность
תקווה,[tikva],надежда
תפילה,[tefila],молитва
שיחה,[siha],разговор
חופש,[hofesh],свобода
נדיבות,[nedivut],щедрость
מיניות,[miniyut],сексуальность
אמיץ,[amitz],смелый
כבוד,[kavod],уважение
שאפתנות,[she'aftanut],амбиция
אחווה,[ahva],братство
מחויבות,[mahuyavut],обязательство
תעשייה,[ta'asiya],промышленность
פיתוח,[pituah],развитие
מחקר,[mehkar],исследование
הצלחה,[hatslaha],успех
התקפה,[hatkafa],атака
שימור,[shimur],сохранение
תוצאה,[totza'a],результат
הפסד,[hefsed],потеря
שחרור,[shihrur],освобождение
שיפוט,[shifut],суд
סייעת,[sayaat],ассистент
החמיא,[hihmia],хвалить
הזדהות,[hizdahut],идентификация
אינטרס,[interes],интерес
התמקדות,[hitmakdut],концентрация
ילדה,[yalda],девочка
תלמיד,[talmid],ученик
מורה,[more],учитель
בית ספר,[beit sefer],школа
אוניברסיטה,[universita],университет
ספר,[sefer],книга
מחברת,[mahberet],тетрадь
עט,[et],ручка
עיפרון,[iparon],карандаш
שולחן,[shulhan],стол
כיסא,[kise],стул
מחשב,[mahshev],компьютер
טלפון,[telefon],телефон
מיטה,[mita],кровать
דלת,[delet],дверь
חלון,[halon],окно
קיר,[kir],стена
תקרה,[tikra],потолок
רצפה,[ritzpa],пол
מזגן,[mazgan],кондиционер
מקרר,[mekarer],холодильник
תנור,[tanur],духовка
כיריים,[kiraim],плита
כיור,[kior],раковина
מקלחת,[miklahat],душ
אמבטיה,[ambatia],ванна
מגבת,[magevet],полотенце
סבון,[sabon],мыло
שמפו,[shampoo],шампунь
משחת שיניים,[mishhat shinayim],зубная паста
