accept, [əkˈsɛpt], принимать
allow, [əˈlaʊ], позволять
ask, [æsk], спрашивать
believe, [bɪˈliv], верить
borrow, [ˈbɑroʊ], брать взаймы
break, [breɪk], ломать
bring, [brɪŋ], приносить
buy, [baɪ], покупать
call, [kɔl], звонить
cancel, [ˈkænsəl], отменять
change, [tʃeɪndʒ], менять
clean, [klin], чистить
comb, [koʊm], расчесывать
complain, [kəmˈpleɪn], жаловаться
cough, [kɔf], кашлять
count, [kaʊnt], считать
cut, [kʌt], резать
dance, [dæns], танцевать
draw, [drɔ], рисовать
drink, [drɪŋk], пить
drive, [draɪv], водить
eat, [it], есть
explain, [ɪksˈpleɪn], объяснять
fall, [fɔl], падать
fill, [fɪl], наполнять
find, [faɪnd], находить
finish, [ˈfɪnɪʃ], заканчивать
fit, [fɪt], подходить
fix, [fɪks], чинить
fly, [flaɪ], летать
forget, [fərˈɡɛt], забывать
give, [ɡɪv], давать
go, [ɡoʊ], идти
have, [hæv], иметь
hear, [hɪr], слышать
hurt, [hɜrt], причинять боль
know, [noʊ], знать
learn, [lɜrn], учить
leave, [liv], покидать
listen, [ˈlɪsn], слушать
live, [laɪv], жить
look, [lʊk], смотреть
lose, [luz], терять
make, [meɪk], делать
need, [nid], нуждаться
open, [ˈoʊpən], открывать
close, [kloʊz], закрывать
organize, [ˈɔrɡəˌnaɪz], организовывать
pay, [peɪ], платить
play, [pleɪ], играть
put, [pʊt], класть
rain, [reɪn], идти (о дожде)
read, [rɛd], читать
reply, [rɪˈplaɪ], отвечать
run, [rʌn], бежать
say, [seɪ], говорить
see, [si], видеть
sell, [sɛl], продавать
send, [sɛnd], отправлять
sign, [saɪn], подписывать
sing, [sɪŋ], петь
sit, [sɪt], сидеть
sleep, [slip], спать
smoke, [smoʊk], курить
speak, [spik], говорить
spend, [spɛnd], тратить
stand, [stænd], стоять
start, [stɑrt], начинать
study, [ˈstʌdi], учиться
succeed, [səkˈsid], преуспевать
swim, [swɪm], плавать
take, [teɪk], брать
talk, [tɔk], разговаривать
teach, [titʃ], учить
tell, [tɛl], рассказывать
think, [θɪŋk], думать
translate, [trænsˈleɪt], переводить
travel, [ˈtrævəl], путешествовать
try, [traɪ], пытаться
turn, [tɜrn], поворачивать
type, [taɪp], печатать
understand, [ˌʌndərˈstænd], понимать
use, [jus], использовать
wait, [weɪt], ждать
wake, [weɪk], просыпаться
walk, [wɔk], ходить
want, [wɔnt], хотеть
watch, [wɑtʃ], смотреть
work, [wɜrk], работать
worry, [ˈwɜri], беспокоиться
write, [raɪt], писать
call, [kɔl], звонить
cancel, [ˈkænsəl], отменять
change, [tʃeɪndʒ], менять
clean, [klin], чистить
comb, [koʊm], расчесывать
complain, [kəmˈpleɪn], жаловаться
cough, [kɔf], кашлять
count, [kaʊnt], считать
cut, [kʌt], резать
dance, [dæns], танцевать
draw, [drɔ], рисовать
drink, [drɪŋk], пить
drive, [draɪv], водить
eat, [it], есть
explain, [ɪksˈpleɪn], объяснять
fall, [fɔl], падать
fill, [fɪl], наполнять
find, [faɪnd], находить
finish, [ˈfɪnɪʃ], заканчивать
fit, [fɪt], подходить
fix, [fɪks], чинить
fly, [flaɪ], летать
forget, [fərˈɡɛt], забывать
give, [ɡɪv], давать
go, [ɡoʊ], идти
have, [hæv], иметь
hear, [hɪr], слышать
hurt, [hɜrt], причинять боль
know, [noʊ], знать
learn, [lɜrn], учить
leave, [liv], покидать
listen, [ˈlɪsn], слушать
live, [laɪv], жить
look, [lʊk], смотреть
lose, [luz], терять
make, [meɪk], делать
need, [nid], нуждаться
open, [ˈoʊpən], открывать
close, [kloʊz], закрывать
organize, [ˈɔrɡəˌnaɪz], организовывать
pay, [peɪ], платить
play, [pleɪ], играть
put, [pʊt], класть
rain, [reɪn], идти (о дожде)
read, [rɛd], читать
reply, [rɪˈplaɪ], отвечать
run, [rʌn], бежать
say, [seɪ], говорить
see, [si], видеть
sell, [sɛl], продавать
send, [sɛnd], отправлять
sign, [saɪn], подписывать
sing, [sɪŋ], петь
sit, [sɪt], сидеть
sleep, [slip], спать
smoke, [smoʊk], курить
speak, [spik], говорить
spend, [spɛnd], тратить
stand, [stænd], стоять
start, [stɑrt], начинать
study, [ˈstʌdi], учиться
succeed, [səkˈsid], преуспевать
swim, [swɪm], плавать
take, [teɪk], брать
talk, [tɔk], разговаривать
teach, [titʃ], учить
tell, [tɛl], рассказывать
think, [θɪŋk], думать
translate, [trænsˈleɪt], переводить
travel, [ˈtrævəl], путешествовать
try, [traɪ], пытаться
turn, [tɜrn], поворачивать
type, [taɪp], печатать
understand, [ˌʌndərˈstænd], понимать
use, [jus], использовать
wait, [weɪt], ждать
wake, [weɪk], просыпаться
walk, [wɔk], ходить
want, [wɔnt], хотеть
watch, [wɑtʃ], смотреть
work, [wɜrk], работать
worry, [ˈwɜri], беспокоиться
add, [æd], добавлять
admire, [ədˈmaɪər], восхищаться
admit, [ədˈmɪt], признавать
advise, [ədˈvaɪz], советовать
afford, [əˈfɔrd], позволять себе
agree, [əˈɡri], соглашаться
alert, [əˈlɜrt], предупреждать
amuse, [əˈmjuːz], развлекать
analyze, [ˈænəˌlaɪz], анализировать
announce, [əˈnaʊns], объявлять
annoy, [əˈnɔɪ], раздражать
apologize, [əˈpɒləˌdʒaɪz], извиняться
appear, [əˈpɪr], появляться
applaud, [əˈplɔd], аплодировать
appreciate, [əˈpriʃieɪt], ценить
approve, [əˈpruːv], одобрять
argue, [ˈɑrgjuː], спорить
arise, [əˈraɪz], возникать
arrange, [əˈreɪndʒ], организовывать
arrest, [əˈrɛst], арестовывать
arrive, [əˈraɪv], прибывать
ask, [æsk], спрашивать
assemble, [əˈsɛmbl], собирать
assist, [əˈsɪst], помогать
attach, [əˈtætʃ], прикреплять
attack, [əˈtæk], атаковать
attempt, [əˈtɛmpt], пытаться
attend, [əˈtɛnd], посещать
attract, [əˈtrækt], привлекать
avoid, [əˈvɔɪd], избегать
bake, [beɪk], печь
balance, [ˈbæləns], балансировать
ban, [bæn], запрещать
bang, [bæŋ], ударять
bare, [bɛər], обнажать
bat, [bæt], бить
battle, [ˈbætl], сражаться
beam, [bim], излучать
beg, [bɛɡ], умолять
begin, [bɪˈɡɪn], начинать
behave, [bɪˈheɪv], вести себя
believe, [bɪˈliːv], верить
belong, [bɪˈlɔŋ], принадлежать
bend, [bɛnd], сгибать
bet, [bɛt], спорить
bind, [baɪnd], связывать
bite, [baɪt], кусать
bleed, [bliːd], кровоточить
bless, [blɛs], благословлять
blind, [blaɪnd], ослеплять
blink, [blɪŋk], мигать
blush, [blʌʃ], краснеть
boil, [bɔɪl], кипятить
bolt, [boʊlt], запирать
bomb, [bɑm], бомбить
book, [bʊk], бронировать
bore, [bɔr], надоедать
borrow, [ˈbɑroʊ], брать взаймы
bounce, [baʊns], отскакивать
bow, [boʊ], кланяться
box, [bɑks], боксировать
brake, [breɪk], тормозить
branch, [bræntʃ], разветвляться
breathe, [briːð], дышать
bruise, [bruːz], ушибать
brush, [brʌʃ], чистить
bubble, [ˈbʌbəl], пузыриться
bump, [bʌmp], ударять
burn, [bɜrn], гореть
bury, [ˈbɛri], хоронить
buzz, [bʌz], жужжать
calculate, [ˈkælkjʊˌleɪt], вычислять
call, [kɔl], звонить
camp, [kæmp], разбивать лагерь
care, [kɛr], заботиться
carry, [ˈkæri], нести
carve, [kɑrv], вырезать
cause, [kɔz], причинять
challenge, [ˈʧælɪndʒ], вызывать
change, [ʧeɪndʒ], менять
charge, [ʧɑrdʒ], заряжать
chase, [ʧeɪs], преследовать
check, [ʧɛk], проверять
cheer, [ʧɪr], подбадривать
chew, [ʧuː], жевать
choke, [ʧoʊk], задыхаться
chop, [ʧɑp], рубить
claim, [kleɪm], утверждать
clap, [klæp], хлопать
clean, [klin], чистить
clear, [klɪr], очищать
clip, [klɪp], обрезать
close, [kloʊz], закрывать
coach, [koʊʧ], тренировать
coil, [koɪl], свертывать
collect, [kəˈlɛkt], собирать
colour, [ˈkʌlər], красить
comb, [koʊm], расчесывать
come, [kʌm], приходить
command, [kəˈmænd], командовать
communicate, [kəˈmjunɪˌkeɪt], общаться
compare, [kəmˈpɛr], сравнивать
compete, [kəmˈpiːt], соревноваться
complain, [kəmˈpleɪn], жаловаться
complete, [kəmˈpliːt], завершать
concentrate, [ˈkɒnsntreɪt], концентрироваться
concern, [kənˈsɜrn], беспокоить
confess, [kənˈfɛs], признаваться
confuse, [kənˈfjuːz], путать
connect, [kəˈnɛkt], соединять
consider, [kənˈsɪdər], рассматривать
consist, [kənˈsɪst], состоять
contain, [kənˈteɪn], содержать
continue, [kənˈtɪnjuː], продолжать
cook, [kʊk], готовить
copy, [ˈkɒpi], копировать
correct, [kəˈrɛkt], исправлять
cough, [kɒf], кашлять
count, [kaʊnt], считать
cover, [ˈkʌvər], покрывать
crack, [kræk], трескаться
crash, [kræʃ], разбиваться
crawl, [krɔl], ползать
cross, [krɔs], пересекать
crush, [krʌʃ], давить
cry, [kraɪ], плакать
cure, [kjʊr], лечить
curl, [kɜrl], завивать
cut, [kʌt], резать
cycle, [ˈsaɪkl], ездить на велосипеде
dam, [dæm], запруживать
damage, [ˈdæmɪʤ], повреждать
dance, [dæns], танцевать
dare, [dɛr], осмеливаться
deal, [dil], иметь дело
decay, [dɪˈkeɪ], разрушаться
deceive, [dɪˈsiv], обманывать
decide, [dɪˈsaɪd], решать
decorate, [ˈdɛkəˌreɪt], украшать
delay, [dɪˈleɪ], задерживать
